index,Sales_ID,name,year,selling_price,km_driven,Region,State or Province,City,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,sold,torque_splitnm,torque_splitrpm,selling_price_grouped,std_price
0,1,Maruti,2014,5400,145500,East,District of Columbia,Washington,Diesel,Individual,Manual,First_Owner,23.4,1248,74.0,5,Y,190.0,2000,5400.0,-0.2456086920254318
1,2,Skoda,2014,4440,120000,East,New York,New York City,Diesel,Individual,Manual,Second_Owner,21.14,1498,103.52,5,Y,250.0,2000,4440.0,-0.3439453259839415
2,3,Honda,2006,1896,140000,Central,Illinois,Chicago,Petrol,Individual,Manual,Third_Owner,17.7,1497,78.0,5,Y,140.0,2700,1896.0,-0.6045374059739921
3,4,Hyundai,2010,2700,127000,Central,Illinois,Chicago,Diesel,Individual,Manual,First_Owner,23.0,1396,90.0,5,Y,140.0,2250,2700.0,-0.5221804750337403
4,5,Maruti,2007,1560,120000,East,New York,New York City,Petrol,Individual,Manual,First_Owner,16.1,1298,88.2,5,Y,140.0,4500,1560.0,-0.6389552278594706
5,6,Hyundai,2017,5280,45000,East,New York,New York City,Petrol,Individual,Manual,First_Owner,20.14,1197,81.86,5,Y,113.75,4000,5280.0,-0.2579007712702455
6,7,Maruti,2007,1152,175000,West,California,Los Angeles,LPG,Individual,Manual,First_Owner,17.3,1061,57.5,5,Y,140.0,4500,1152.0,-0.6807482972918372
7,8,Maruti,2001,540,5000,West,California,Los Angeles,Petrol,Individual,Manual,Second_Owner,16.1,796,37.0,4,Y,59.0,2500,540.0,-0.743437901440387
8,9,Toyota,2011,4200,90000,West,California,Los Angeles,Diesel,Individual,Manual,First_Owner,23.59,1364,67.1,5,Y,170.0,2100,4200.0,-0.3685294844735689
9,10,Ford,2013,2400,169000,Central,Texas,Houston,Diesel,Individual,Manual,First_Owner,20.0,1399,68.1,5,Y,160.0,2000,2400.0,-0.5529106731457746
10,11,Renault,2014,6000,68000,East,New York,New York City,Diesel,Individual,Manual,Second_Owner,19.01,1461,108.45,5,Y,248.0,2250,6000.0,-0.18414829580136327
11,12,Maruti,2005,1104,100000,Central,Texas,Houston,Petrol,Individual,Manual,Second_Owner,17.3,993,60.0,5,Y,78.0,4500,1104.0,-0.6856651289897626
12,13,Maruti,2009,3360,140000,Central,Texas,Houston,Diesel,Individual,Manual,Second_Owner,19.3,1248,73.9,5,Y,190.0,2000,3360.0,-0.45457403918726486
13,15,Maruti,2009,2160,90000,East,Massachusetts,Boston,Petrol,Individual,Manual,Second_Owner,18.9,1061,67.0,5,Y,84.0,3500,2160.0,-0.5774948316354019
14,16,Mahindra,2016,4800,40000,East,Massachusetts,Boston,Petrol,Individual,Manual,First_Owner,18.15,1198,82.0,5,Y,115.0,3550,4800.0,-0.30706908824950035
15,17,Maruti,2016,9336,70000,Central,Texas,Dallas,Diesel,Individual,Manual,Second_Owner,24.52,1248,88.5,7,Y,200.0,1750,9336.0,0.15757150720445784
16,18,Hyundai,2012,6000,53000,Central,Texas,Dallas,Diesel,Individual,Manual,Second_Owner,23.0,1396,90.0,5,Y,140.0,2250,6000.0,-0.18414829580136327
17,19,Maruti,2002,1800,80000,Central,Texas,Dallas,Petrol,Individual,Manual,Second_Owner,19.7,796,46.3,5,Y,62.0,3000,1800.0,-0.6143710693698431
18,20,Hyundai,2016,8160,100000,East,New York,New York City,Diesel,Individual,Manual,First_Owner,22.54,1396,88.73,5,Y,219.7,2125,8160.0,0.03710913060528348
19,21,Mahindra,2011,2088,100000,East,New York,New York City,Diesel,Individual,Manual,Second_Owner,21.0,1461,64.1,5,Y,160.0,2000,2088.0,-0.5848700791822902
20,22,Honda,2017,11400,50000,East,New York,New York City,Diesel,Individual,Manual,First_Owner,25.5,1498,98.6,5,Y,200.0,1750,11400.0,0.36899527021525363
21,23,Maruti,2015,6300,40000,Central,Texas,Dallas,Diesel,Individual,Manual,First_Owner,26.59,1248,74.0,5,Y,190.0,2000,6300.0,-0.153418097689329
22,24,Maruti,2012,7200,72000,East,New York,New York City,Diesel,Individual,Manual,First_Owner,21.5,1248,88.8,5,Y,200.0,1750,7200.0,-0.061227503353226194
23,25,Tata,2018,6000,35000,East,New York,New York City,Petrol,Individual,Manual,First_Owner,20.3,1199,83.81,5,Y,114.0,3500,6000.0,-0.18414829580136327
24,26,Maruti,2016,6900,45000,West,California,Los Angeles,Petrol,Individual,Manual,First_Owner,21.4,1197,83.1,5,Y,115.0,4000,6900.0,-0.09195770146526046
25,27,Maruti,2017,3300,28000,West,Washington,Seattle,Petrol,Individual,Manual,First_Owner,24.7,796,47.3,5,Y,69.0,3500,3300.0,-0.46072007880967175
26,28,Chevrolet,2013,3600,70000,East,Massachusetts,Boston,Diesel,Individual,Manual,First_Owner,18.2,1248,73.8,7,Y,172.5,1750,3600.0,-0.42998988069763744
27,29,Maruti,2009,2640,120000,South,Georgia,Atlanta,Petrol,Individual,Manual,First_Owner,18.9,1061,67.0,5,Y,84.0,3500,2640.0,-0.5283265146561471
28,30,Maruti,2018,3059,25000,East,New York,New York City,Petrol,Individual,Manual,First_Owner,16.8,796,34.2,8,Y,59.0,2500,3059.0,-0.4854066712930059
29,31,Maruti,2017,8040,70000,Central,Illinois,Chicago,Diesel,Individual,Manual,First_Owner,24.3,1248,88.5,5,Y,200.0,1750,8040.0,0.024817051360469772
30,33,Maruti,2012,1800,35000,Central,Illinois,Chicago,Petrol,Individual,Manual,Second_Owner,14.0,796,35.0,5,Y,140.0,3000,1800.0,-0.6143710693698431
31,34,Hyundai,2018,8760,2388,West,Washington,Seattle,Petrol,Individual,Manual,First_Owner,18.6,1197,81.83,5,Y,114.7,4000,8760.0,0.09856952682935202
32,35,Maruti,2017,7800,16200,West,Washington,Seattle,Diesel,Individual,Manual,First_Owner,24.3,1248,88.5,5,Y,200.0,1750,7800.0,0.00023289287084235245
33,36,Maruti,2019,3960,10000,West,Washington,Seattle,CNG,Individual,Manual,Second_Owner,33.44,796,40.3,4,Y,60.0,3500,3960.0,-0.39311364296319634
34,37,Maruti,2019,4392,15000,West,Washington,Seattle,Petrol,Individual,Manual,First_Owner,23.95,998,67.1,5,Y,90.0,3500,4392.0,-0.34886215768186696
35,38,Hyundai,2019,13788,5000,East,District of Columbia,Washington,Petrol,Individual,Manual,First_Owner,17.0,1591,121.3,5,Y,151.0,4850,13788.0,0.6136076471870464
36,39,Datsun,2016,1800,42000,West,California,Los Angeles,Petrol,Individual,Manual,First_Owner,20.63,1198,67.0,5,Y,104.0,4000,1800.0,-0.6143710693698431
37,40,Tata,2011,5100,60000,South,North Carolina,Charlotte,Diesel,Individual,Manual,Second_Owner,13.93,2179,138.03,7,Y,320.0,2200,5100.0,-0.2763388901374661
38,41,Maruti,2012,1800,76000,West,California,Los Angeles,Petrol,Individual,Manual,First_Owner,16.1,796,37.0,4,Y,59.0,2500,1800.0,-0.6143710693698431
39,42,Jeep,2019,25200,5000,East,New York,New York City,Petrol,Individual,Automatic,First_Owner,16.0,1368,160.77,5,Y,250.0,2125,25200.0,1.7825843833688304
40,43,Honda,2018,11100,28900,East,New York,New York City,Petrol,Dealer,Manual,First_Owner,17.8,1497,117.3,5,Y,145.0,4600,11100.0,0.3382650721032193
41,44,Honda,2013,5100,86300,East,New York,New York City,Petrol,Dealer,Manual,First_Owner,16.8,1497,116.3,5,Y,146.0,4800,5100.0,-0.2763388901374661
42,45,Maruti,2018,8100,23300,East,New York,New York City,Petrol,Dealer,Automatic,First_Owner,18.5,1197,83.14,5,Y,115.0,4000,8100.0,0.030963090982876626
43,46,Maruti,2018,9839,32600,Central,Illinois,Chicago,Diesel,Dealer,Manual,First_Owner,24.3,1248,88.5,5,Y,200.0,1750,9839.0,0.20909580603896863
44,47,Maruti,2018,4680,10300,East,New York,New York City,Petrol,Dealer,Manual,First_Owner,23.95,998,67.05,5,Y,90.0,3500,4680.0,-0.3193611674943141
45,48,Toyota,2014,18000,77000,West,Washington,Seattle,Diesel,Dealer,Manual,First_Owner,12.55,2982,168.5,7,Y,343.0,2400,18000.0,1.0450596286800076
46,49,Toyota,2013,8400,99000,East,New York,New York City,Diesel,Dealer,Manual,First_Owner,12.99,2494,100.0,7,Y,200.0,2400,8400.0,0.0616932890949109
47,50,Mercedes,2014,17400,27800,East,New York,New York City,Diesel,Dealer,Automatic,Second_Owner,14.8,2143,120.7,5,Y,200.0,2625,17400.0,0.983599232455939
48,51,Honda,2015,5100,49800,East,New York,New York City,Diesel,Dealer,Manual,First_Owner,24.7,1498,98.63,5,Y,200.0,1750,5100.0,-0.2763388901374661
49,52,Mitsubishi,2013,13080,151000,West,Washington,Seattle,Diesel,Dealer,Manual,First_Owner,13.5,2477,175.56,7,Y,400.0,2250,13080.0,0.5410843796426456
50,53,Honda,2015,7200,54700,West,California,Los Angeles,Diesel,Dealer,Manual,First_Owner,26.0,1498,98.6,5,Y,200.0,1750,7200.0,-0.061227503353226194
51,54,Maruti,2018,10200,64000,East,New York,New York City,Petrol,Dealer,Manual,First_Owner,20.65,1462,103.25,5,Y,138.0,4400,10200.0,0.24607447776711652
52,55,Honda,2015,6300,63000,South,Georgia,Atlanta,Diesel,Dealer,Manual,First_Owner,27.3,1498,98.6,5,Y,200.0,1750,6300.0,-0.153418097689329
53,56,Toyota,2016,19800,127700,East,Massachusetts,Boston,Diesel,Dealer,Automatic,Second_Owner,11.36,2755,171.5,7,Y,360.0,2300,19800.0,1.2294408173522133
54,57,Toyota,2016,11400,99000,South,Georgia,Atlanta,Diesel,Dealer,Manual,First_Owner,12.99,2494,100.6,7,Y,200.0,2400,11400.0,0.36899527021525363
55,58,Audi,2013,21000,33900,South,Georgia,Atlanta,Diesel,Dealer,Automatic,Second_Owner,17.68,1968,174.33,5,Y,380.0,2125,21000.0,1.3523616098003504
56,59,Toyota,2018,19080,25000,South,Florida,Miami,Petrol,Dealer,Automatic,First_Owner,14.28,1798,138.03,5,Y,173.0,4000,19080.0,1.155688341883331
57,60,Audi,2013,20279,50000,East,Massachusetts,Boston,Diesel,Dealer,Automatic,First_Owner,18.53,1968,187.74,5,Y,400.0,2375,20279.0,1.2785067003377613
58,61,Mercedes,2013,17100,59000,East,Massachusetts,Boston,Diesel,Dealer,Automatic,First_Owner,14.84,2143,170.0,5,Y,400.0,2100,17100.0,0.9528690343439048
59,62,Tata,2011,3180,120000,East,Pennsylvania,Philadelphia,Diesel,Individual,Manual,First_Owner,21.12,1248,88.8,5,Y,200.0,2375,3180.0,-0.47301215805448543
60,63,Hyundai,2011,2280,110000,West,California,San Diego,Petrol,Individual,Manual,Third_Owner,20.36,1197,78.9,5,Y,111.7,4000,2280.0,-0.5652027523905883
61,64,Hyundai,2013,5100,60000,West,California,San Francisco,Diesel,Individual,Manual,First_Owner,21.27,1396,88.76,5,Y,219.6,2125,5100.0,-0.2763388901374661
62,65,Maruti,2015,7560,147000,West,California,San Francisco,Diesel,Individual,Manual,Second_Owner,26.59,1248,74.0,5,Y,190.0,2000,7560.0,-0.024351265618785065
